user_id,post_text,sentiment_score
dhruv.xd,Is depression an illness? ,-0.7506
dhruv.xd,Searching for a therapist that meets on weekends? ,0.0
dhruv.xd,The 1st Lady’s mental health road map? mental wellness ,0.4404
dhruv.xd,Want your teen to practice safe sex? parenting ,0.4939
dhruv.xd,Untreated mental illness leaves 2 dead mentalillness ,-0.7906
dhruv.xd,Stereotypes about teens can undermine parents? ,-0.296
dhruv.xd,What do you do when your loved one is in crisis? ,-0.0516
dhruv.xd,Parenting with mental illness mentalillness ,-0.4019
dhruv.xd,How recovery from addiction impacts the family? ,0.0
dhruv.xd,Heroin deaths on a surge? ,-0.4939
dhruv.xd,How not to raise a narcissist ,0.0
dhruv.xd,Top 13 relationship deal breakers ,0.2023
dhruv.xd,CBT for the winter blues? ,0.0
dhruv.xd,The Decisive Marriage ,0.2263
dhruv.xd,Is mental suffering just like any other illness? mentalillness ,-0.5106
dhruv.xd,75% of wounded veterans suffer from PTSD? ,-0.5423
dhruv.xd,"Stressed, tired and rushed family ",-0.6486
dhruv.xd,The Client/ Therapist relationship ,0.0
dhruv.xd,Whats a traumatic birth? ,-0.5719
dhruv.xd,A U.S. Therapist General? ,0.0
dhruv.xd,Is addiction a crisis in the U.S.? ,-0.6249
dhruv.xd,How could jewelry help prevent sexual assault? ,-0.25
dhruv.xd,Gonorrhea becoming more resistant ? STD ,0.0
dhruv.xd,Should parents have the sex talk with their children? ,0.0
dhruv.xd,Subtle suicide ,-0.6705
dhruv.xd,Does Halloween traumatize children? ,-0.5267
dhruv.xd,College students and alcohol disorders ,0.0
dhruv.xd,More white men die from suicide and substance abuse ,-0.9308
dhruv.xd,Same sex couples and fertility benefits ,0.3818
dhruv.xd,March against eating disorders in Washington ,0.0
dhruv.xd,Anorexic woman weighed 40 pounds ,0.0
dhruv.xd,Love a women with anxiety? ,0.5423
dhruv.xd,Mindfulness in the workplace ,0.0
dhruv.xd,How to teach children how to self-advocate parenting ,0.0
dhruv.xd,How can children inherit our anxiety? ,-0.1779
dhruv.xd,Children and self-esteem ,0.0
dhruv.xd,What happens when you try to prevent every suicide ,-0.6597
dhruv.xd,How to deal with mental health issues at work mentalhealth ,0.0
dhruv.xd,Peer support and breaking the stigma ,0.4019
dhruv.xd,"Teens, self-harm, bullying, and sexting ",-0.5994
dhruv.xd,Limit video game time to help manage ADHD? ,0.4019
dhruv.xd,How to stop child abuse? ,-0.7506
dhruv.xd,Need a weekend counseling appointment in CT? ,0.0
dhruv.xd,Do you know the signs of child neglect? ,-0.4588
dhruv.xd,Love a person with mental illness? mentalillness ,0.3612
dhruv.xd,Messages to those with mental illness worldwide mentalillness ,-0.4019
dhruv.xd,How do you accept your emotions? acceptance ,0.6808
dhruv.xd,Need a therapist that accepts Husky insurance in CT? ,0.3182
dhruv.xd,What are some side effects of antidepressants? ,0.0
dhruv.xd,Think your sadness may be depression? ,-0.765
dhruv.xd,Mental health and academic life mentalhealth ,0.0
dhruv.xd,When it comes to stress do women have it worse? ,-0.7096
dhruv.xd,Poor parenting and children behavior problems ,-0.7003
dhruv.xd,Dating sites connected to STD  increase? ,0.3182
dhruv.xd,Searching for a counselor that meets on weekends? ,0.0
dhruv.xd,Subtle signs of depression ,-0.5719
dhruv.xd,Men account for 76% of suicides in 2014? ,0.0
dhruv.xd,Accountants and mental health stress ,-0.4215
dhruv.xd,Another way to counter anxiety? ,-0.1779
dhruv.xd,Does legalizing prostitution lead to more trafficking? ,0.0
dhruv.xd,Things you shouldn’t do after an affair? ,0.0
dhruv.xd,Does early life stress lead to depression later on? ,-0.7579
dhruv.xd,Is your marriage good for your health? ,0.4404
dhruv.xd,Do you struggle with the need for perfection? ,0.34
dhruv.xd,How has birth control impacted your marriage? ,0.0
dhruv.xd,How do seniors cope with depression? ,-0.5719
dhruv.xd,How do you make sense out of depression? ,-0.5719
dhruv.xd,How does stress effect your health? ,-0.4215
dhruv.xd,Black men and mental illness mentalillness ,-0.4019
dhruv.xd,Understanding anxiety in men ,-0.1779
dhruv.xd,Mentally ill left behind mentalillnes ,-0.4215
dhruv.xd,Tackling feelings of resentment? ,-0.4404
dhruv.xd,Myths that undermine addiction recovery? ,-0.296
dhruv.xd,How many people do you know with a cocaine problem? addiction ,-0.4019
dhruv.xd,Children and pot addiction ,0.0
dhruv.xd,PTSD after a flood? ,0.0
dhruv.xd,Volunteering improves mental health? ,0.4215
dhruv.xd,Taking care of yourself at work ,0.4939
dhruv.xd,Reversing childhood obesity? ,0.0
dhruv.xd,Don’t take it out on the children ,0.0
dhruv.xd,Refusing treatment for Bipolar Disorder ,-0.6597
dhruv.xd,Doctors against vaccines? ,0.0
dhruv.xd,Spotlight on prescription drug abuse ,-0.6369
dhruv.xd,ADHD Ain’t no Daddy At Home Disorder? ,-0.5994
dhruv.xd,Next time notice the feeling when someone smiles at you? Mindfulness ,0.5574
dhruv.xd,Screening children for depression during physical exams? ,-0.5719
dhruv.xd,Genetic mutations cause half of Autism? ,0.0
dhruv.xd,How does your job impact your mental health? ,0.0
dhruv.xd,Australian Mental Health system broken? ,-0.4767
dhruv.xd,Scholars question if ADHD even exists. ,0.0
dhruv.xd,Children going to the chiropractor? ,0.0
dhruv.xd,Do you know about bipolar disorder? ,-0.4019
dhruv.xd,Kids and Screen (electronics) Addiction ,0.0
dhruv.xd,Increase in ADHD medication use? ,0.3182
dhruv.xd,Older women still enjoy sex too ,0.4939
